Gene,Model,lnL,LRT,np,df,p-value
FOXP2,Bmodel-H3,-2443.462141,1.7642519999999422,176,2,0.41390201993108255
FOXP2,Bmodel-null-H3,-2444.344267,N/A,174,N/A,N/A
MYL1,Bmodel-H3,-1902.681079,6.6364440000002105,166,2,0.036217168667468415
MYL1,Bmodel-null-H3,-1905.999301,N/A,164,N/A,N/A
HTT,Bmodel-H3,-23425.265341,1.5852200000008452,172,2,0.45266180484055785
HTT,Bmodel-null-H3,-23426.057951,N/A,170,N/A,N/A
CNTNAP2,Bmodel-H3,-11008.87196,0.34612399999969057,172,2,0.841085465929266
CNTNAP2,Bmodel-null-H3,-11009.045022,N/A,170,N/A,N/A
CASQ2,Bmodel-H3,-3069.871023,6.9494660000000295,172,2,0.030970101736524536
CASQ2,Bmodel-null-H3,-3073.345756,N/A,170,N/A,N/A
HSP90AA1,Bmodel-H3,-5577.979805,0.08706399999937275,142,2,0.9574019167397365
HSP90AA1,Bmodel-null-H3,-5578.023337,N/A,140,N/A,N/A
PCDH15,Bmodel-H3,-10162.605532,0.0006659999999101274,174,2,0.9996670554383911
PCDH15,Bmodel-null-H3,-10162.605865,N/A,172,N/A,N/A
MYO7A,Bmodel-H3,-8022.002244,27.417177999999694,134,2,1.1128469570748819e-06
MYO7A,Bmodel-null-H3,-8035.710833,N/A,132,N/A,N/A
OTOF,Bmodel-H3,-11931.913638,36.788315999998304,160,2,1.0268776022522306e-08
OTOF,Bmodel-null-H3,-11950.307796,N/A,158,N/A,N/A
CASQ1,Bmodel-H3,-2756.313886,4.292760000000271,174,2,0.11690659457391497
CASQ1,Bmodel-null-H3,-2758.460266,N/A,172,N/A,N/A
MYH2,Bmodel-H3,-4394.822129,-0.8719880000007834,156,2,1.0
MYH2,Bmodel-null-H3,-4394.386135,N/A,154,N/A,N/A
RYR2,Bmodel-H3,-34381.381762,12.275946000008844,178,2,0.0021592960784536297
RYR2,Bmodel-null-H3,-34387.519735,N/A,176,N/A,N/A
