Gene,Model,lnL,LRT,np,df,p-value
MYH2,Amodel-H3,-5052.912485,2.0000006770715117e-06,57,1,0.9988716210180326
MYH2,Amodel-null-H3,-5052.912486,N/A,56,N/A,N/A
FOXP2,Amodel-H3,-2278.917471,0.0,63,1,1.0
FOXP2,Amodel-null-H3,-2278.917471,N/A,62,N/A,N/A
RYR2,Amodel-H3,-27181.845678,-6.0000005760230124e-05,63,1,1.0
RYR2,Amodel-null-H3,-27181.845648,N/A,62,N/A,N/A
ACTC1,Amodel-H3,-1912.398379,0.0,41,1,1.0
ACTC1,Amodel-null-H3,-1912.398379,N/A,40,N/A,N/A
HSP90AA1,Amodel-H3,-4738.523067,0.04038600000058068,63,1,0.8407277533245694
HSP90AA1,Amodel-null-H3,-4738.54326,N/A,62,N/A,N/A
HTT,Amodel-H3,-18185.505471,0.01023200000054203,63,1,0.9194287288551924
HTT,Amodel-null-H3,-18185.510587,N/A,62,N/A,N/A
CASQ2,Amodel-H3,-2368.896393,1.8382080000001224,63,1,0.17516112590403154
CASQ2,Amodel-null-H3,-2369.815497,N/A,62,N/A,N/A
OTOF,Amodel-H3,-10471.47551,131.71935200000007,63,1,1.7233942356833304e-30
OTOF,Amodel-null-H3,-10537.335186,N/A,62,N/A,N/A
CNTNAP2,Amodel-H3,-8745.927406,0.00033599999733269215,63,1,0.9853753534599743
CNTNAP2,Amodel-null-H3,-8745.927574,N/A,62,N/A,N/A
MYO7A,Amodel-H3,-7268.598622,30.086161999999604,63,1,4.1326968714229953e-08
MYO7A,Amodel-null-H3,-7283.641703,N/A,62,N/A,N/A
NLGN3,Amodel-H3,-4064.625568,-1.99999976757681e-06,41,1,1.0
NLGN3,Amodel-null-H3,-4064.625567,N/A,40,N/A,N/A
PCDH15,Amodel-H3,-8618.865686,29.8802820000019,63,1,4.595627917324559e-08
PCDH15,Amodel-null-H3,-8633.805827,N/A,62,N/A,N/A
CALML6,Amodel-H3,-1775.378679,8.728046000000177,39,1,0.003133521331303078
CALML6,Amodel-null-H3,-1779.742702,N/A,38,N/A,N/A
CASQ1,Amodel-H3,-2428.933223,20.893801999999596,63,1,4.854628498792625e-06
CASQ1,Amodel-null-H3,-2439.380124,N/A,62,N/A,N/A
MYL1,Amodel-H3,-1623.933745,1.99999976757681e-06,61,1,0.998871621274596
MYL1,Amodel-null-H3,-1623.933746,N/A,60,N/A,N/A
NRXN1,Amodel-H3,-8167.746761,0.0,37,1,1.0
NRXN1,Amodel-null-H3,-8167.746761,N/A,36,N/A,N/A
