Gene,Model,lnL,LRT,np,df,p-value
CASQ2,Bmodel-H2,-2368.409328,5.953599999999824,64,2,0.05095563127019871
CASQ2,Bmodel-null-H2,-2371.386128,N/A,62,N/A,N/A
PCDH15,Bmodel-H2,-8610.976433,15.821780000002036,64,2,0.00036672804734684463
PCDH15,Bmodel-null-H2,-8618.887323,N/A,62,N/A,N/A
CNTNAP2,Bmodel-H2,-8744.860367,1.7706639999996696,64,2,0.41257717491657564
CNTNAP2,Bmodel-null-H2,-8745.745699,N/A,62,N/A,N/A
MYL1,Bmodel-H2,-1619.049128,5.715777999999773,62,2,0.057389782312221846
MYL1,Bmodel-null-H2,-1621.907017,N/A,60,N/A,N/A
HTT,Bmodel-H2,-18185.100221,0.7873019999969983,64,2,0.6745894468803617
HTT,Bmodel-null-H2,-18185.493872,N/A,62,N/A,N/A
ACTC1,Bmodel-H2,-1899.750183,24.779933999999685,42,2,4.160118493843209e-06
ACTC1,Bmodel-null-H2,-1912.14015,N/A,40,N/A,N/A
CALML6,Bmodel-H2,-1775.426621,8.61336399999982,40,2,0.0134781961394588
CALML6,Bmodel-null-H2,-1779.733303,N/A,38,N/A,N/A
FOXP2,Bmodel-H2,-2278.899448,0.03604600000016944,64,2,0.9821384429142529
FOXP2,Bmodel-null-H2,-2278.917471,N/A,62,N/A,N/A
OTOF,Bmodel-H2,-10524.919322,11.97602199999892,64,2,0.002508648793683344
OTOF,Bmodel-null-H2,-10530.907333,N/A,62,N/A,N/A
HSP90AA1,Bmodel-H2,-4732.005592,0.0,64,2,1.0
HSP90AA1,Bmodel-null-H2,-4732.005592,N/A,62,N/A,N/A
CASQ1,Bmodel-H2,-2430.245452,9.765199999999822,64,2,0.007577287446774222
CASQ1,Bmodel-null-H2,-2435.128052,N/A,62,N/A,N/A
NRXN1,Bmodel-H2,-8042.009411,25.690898000000743,38,2,2.6381068508421513e-06
NRXN1,Bmodel-null-H2,-8054.85486,N/A,36,N/A,N/A
NLGN3,Bmodel-H2,-4064.669806,0.45171399999981077,42,2,0.7978321835109454
NLGN3,Bmodel-null-H2,-4064.895663,N/A,40,N/A,N/A
MYO7A,Bmodel-H2,-7281.929816,2.807090000000244,64,2,0.24572432537014377
MYO7A,Bmodel-null-H2,-7283.333361,N/A,62,N/A,N/A
RYR2,Bmodel-H2,-27174.129727,15.354914000003191,64,2,0.00046315119597648685
RYR2,Bmodel-null-H2,-27181.807184,N/A,62,N/A,N/A
MYH2,Bmodel-H2,-5027.057123,2.5038580000000366,58,2,0.2859526618125048
MYH2,Bmodel-null-H2,-5028.309052,N/A,56,N/A,N/A
