Gene,Model,lnL,LRT,np,df,p-value
HSP90AA1,2model-H3,-5612.419368,1.5006160000011732,139,1,0.22057660458661274
HSP90AA1,M0,-5613.169676,N/A,138,N/A,N/A
MYO7A,2model-H3,-8082.878247,1.9023200000010547,131,1,0.16781886696595227
MYO7A,M0,-8083.829407,N/A,130,N/A,N/A
PCDH15,2model-H3,-10278.084376,1.8217939999994996,171,1,0.17709988034684992
PCDH15,M0,-10278.995273,N/A,170,N/A,N/A
MYL1,2model-H3,-1939.117192,4.315102000000024,163,1,0.037775506268968105
MYL1,M0,-1941.274743,N/A,162,N/A,N/A
CASQ1,2model-H3,-2784.7826,1.99330800000007,171,1,0.15799542824888183
CASQ1,M0,-2785.779254,N/A,170,N/A,N/A
HTT,2model-H3,-23601.280769,0.24300599999696715,169,1,0.6220434034704629
HTT,M0,-23601.402272,N/A,168,N/A,N/A
RYR2,2model-H3,-34535.651607,0.5124059999943711,175,1,0.47409916792099394
RYR2,M0,-34535.90781,N/A,174,N/A,N/A
MYH2,2model-H3,-4493.808937,-0.4658499999986816,153,1,1.0
MYH2,M0,-4493.576012,N/A,152,N/A,N/A
FOXP2,2model-H3,-2445.077031,1.7405060000000958,173,1,0.18707472597032473
FOXP2,M0,-2445.947284,N/A,172,N/A,N/A
OTOF,2model-H3,-12055.483123,7.464747999998508,157,1,0.006291883828038632
OTOF,M0,-12059.215497,N/A,156,N/A,N/A
CASQ2,2model-H3,-3093.575112,8.85043399999995,169,1,0.0029301920915862224
CASQ2,M0,-3098.000329,N/A,168,N/A,N/A
CNTNAP2,2model-H3,-11071.438083,0.0021340000021154992,169,1,0.9631546380516636
CNTNAP2,M0,-11071.43915,N/A,168,N/A,N/A
